标题,法规名称,法条名称,法条号,内容,时效性,一级效力级别,发布部门,实施日期,发布日期,二级效力级别,发文字号,LLM拼接内容,ES评分,法条编号,详情链接,法规ID,ID
中华人民共和国刑法(2023修正)第十三条,中华人民共和国刑法(2023修正),中华人民共和国刑法(2023修正)第十三条,第十三条,　【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,现行有效,法律,全国人大常委会,2024-03-01,2023-12-29,法律,, - 《中华人民共和国刑法(2023修正)》第十三条##　【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,38.83546,13,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/aecabfbe6b0843642509a7f1ff865413?text=13,aecabfbe6b0843642509a7f1ff865413,aecabfbe6b0843642509a7f1ff865413_13
中华人民共和国刑法(2001第二次修正)第十三条,中华人民共和国刑法(2001第二次修正),中华人民共和国刑法(2001第二次修正)第十三条,第十三条,【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,已被修改,法律,全国人民代表大会,2001-12-29,2001-12-29,法律,, - 《中华人民共和国刑法(2001第二次修正)》第十三条##【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,35.5107,13,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c252749f2395cfe2a865cd67723151a5?text=13,c252749f2395cfe2a865cd67723151a5,c252749f2395cfe2a865cd67723151a5_13
中华人民共和国刑法(2017修正)第十三条,中华人民共和国刑法(2017修正),中华人民共和国刑法(2017修正)第十三条,第十三条,【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,已被修改,法律,全国人民代表大会,2017-11-04,2017-11-04,法律,, - 《中华人民共和国刑法(2017修正)》第十三条##【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,35.456543,13,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/e3b9a9770f24083626e2bda50afdf28e?text=13,e3b9a9770f24083626e2bda50afdf28e,e3b9a9770f24083626e2bda50afdf28e_13
中华人民共和国刑法(2009第二次修正)第十三条,中华人民共和国刑法(2009第二次修正),中华人民共和国刑法(2009第二次修正)第十三条,第十三条,【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,已被修改,法律,全国人大常委会,2009-08-27,2009-08-27,法律,, - 《中华人民共和国刑法(2009第二次修正)》第十三条##【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,35.4476,13,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/6f85d36dad519620f103f76f9195ccd7?text=13,6f85d36dad519620f103f76f9195ccd7,6f85d36dad519620f103f76f9195ccd7_13
中华人民共和国刑法(2006修正)第十三条,中华人民共和国刑法(2006修正),中华人民共和国刑法(2006修正)第十三条,第十三条,【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,已被修改,法律,全国人民代表大会,2006-06-29,2006-06-29,法律,, - 《中华人民共和国刑法(2006修正)》第十三条##【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,35.445946,13,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/14cdfd289f2582c05e4ef0d89b9e662e?text=13,14cdfd289f2582c05e4ef0d89b9e662e,14cdfd289f2582c05e4ef0d89b9e662e_13
中华人民共和国刑法(2020修正)第十三条,中华人民共和国刑法(2020修正),中华人民共和国刑法(2020修正)第十三条,第十三条,【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,已被修改,法律,全国人民代表大会,2021-03-01,2020-12-26,法律,中华人民共和国主席令第66号, - 《中华人民共和国刑法(2020修正)》第十三条##【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,35.43406,13,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/c35e326807b739eeb07578c0f00edfcb?text=13,c35e326807b739eeb07578c0f00edfcb,c35e326807b739eeb07578c0f00edfcb_13
中华人民共和国刑法(2001第一次修正)第十三条,中华人民共和国刑法(2001第一次修正),中华人民共和国刑法(2001第一次修正)第十三条,第十三条,【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,已被修改,法律,全国人民代表大会,2001-08-31,2001-08-31,法律,, - 《中华人民共和国刑法(2001第一次修正)》第十三条##【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,35.419342,13,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/02311b1868bbc53cc46923b4c616fedd?text=13,02311b1868bbc53cc46923b4c616fedd,02311b1868bbc53cc46923b4c616fedd_13
中华人民共和国刑法(2005修正)第十三条,中华人民共和国刑法(2005修正),中华人民共和国刑法(2005修正)第十三条,第十三条,【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,已被修改,法律,全国人民代表大会,2005-02-28,2005-02-28,法律,, - 《中华人民共和国刑法(2005修正)》第十三条##【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,35.419342,13,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/559c6b523d8d1007db0fe2a7d9454936?text=13,559c6b523d8d1007db0fe2a7d9454936,559c6b523d8d1007db0fe2a7d9454936_13
中华人民共和国刑法(1999修正)第十三条,中华人民共和国刑法(1999修正),中华人民共和国刑法(1999修正)第十三条,第十三条,【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,已被修改,法律,全国人民代表大会,1999-12-25,1999-12-25,法律,, - 《中华人民共和国刑法(1999修正)》第十三条##【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,35.364033,13,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/985ab2e001494f7d5c71a0728f9cc392?text=13,985ab2e001494f7d5c71a0728f9cc392,985ab2e001494f7d5c71a0728f9cc392_13
中华人民共和国刑法(2011修正)第十三条,中华人民共和国刑法(2011修正),中华人民共和国刑法(2011修正)第十三条,第十三条,【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,已被修改,法律,全国人民代表大会,2011-05-01,2011-02-25,法律,, - 《中华人民共和国刑法(2011修正)》第十三条##【犯罪概念】一切危害国家主权、领土完整和安全，分裂国家、颠覆人民民主专政的政权和推翻社会主义制度，破坏社会秩序和经济秩序，侵犯国有财产或者劳动群众集体所有的财产，侵犯公民私人所有的财产，侵犯公民的人身权利、民主权利和其他权利，以及其他危害社会的行为，依照法律应当受刑罚处罚的，都是犯罪，但是情节显著轻微危害不大的，不认为是犯罪。,35.364033,13,https://ydzk.chineselaw.com/zxt/statuteDetail/detailPage/2b6b3f6e128fc4fa8d3566ba2b07777b?text=13,2b6b3f6e128fc4fa8d3566ba2b07777b,2b6b3f6e128fc4fa8d3566ba2b07777b_13
